rank,uid,title,year,venue,url,problem_claimed,actual_mechanism,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open
1,doi:10.1609/aaai.v38i9.28898,LINGO-Space: Language-Conditioned Incremental Grounding for Space,2024,Proceedings of the AAAI Conference on Artificial Intelligence,https://doi.org/10.1609/aaai.v38i9.28898,Addresses tactile-language-action models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Tactile language grounding debt keeps action-critical alternatives explicit until a physical observation collapses them.
2,doi:10.18653/v1/2024.alvr-1.4,Negative Object Presence Evaluation (NOPE) to Measure Object Hallucination in Vision-Language Models,2024,Proceedings of the 3rd Workshop on Advances in Language and Vision Research (ALVR),https://doi.org/10.18653/v1/2024.alvr-1.4,Addresses tactile-language-action models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Tactile language grounding debt keeps action-critical alternatives explicit until a physical observation collapses them.
3,doi:10.1609/icaps.v34i1.31506,SayNav: Grounding Large Language Models for Dynamic Planning to Navigation in New Environments,2024,Proceedings of the International Conference on Automated Planning and Scheduling,https://doi.org/10.1609/icaps.v34i1.31506,Addresses tactile-language-action models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Tactile language grounding debt keeps action-critical alternatives explicit until a physical observation collapses them.
4,doi:10.1109/lra.2024.3362591,DRAGON: A Dialogue-Based Robot for Assistive Navigation with Visual Language Grounding,2023,arXiv,http://arxiv.org/abs/2307.06924v3,Addresses tactile-language-action models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Tactile language grounding debt keeps action-critical alternatives explicit until a physical observation collapses them.
5,arxiv:2602.17659v1,When Vision Overrides Language: Evaluating and Mitigating Counterfactual Failures in VLAs,2026,arXiv,http://arxiv.org/abs/2602.17659v1,Addresses tactile-language-action models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Tactile language grounding debt keeps action-critical alternatives explicit until a physical observation collapses them.
6,arxiv:2412.14058v4,What Matters in Building Vision-Language-Action Models for Generalist Robots,2024,arXiv,http://arxiv.org/abs/2412.14058v4,Addresses tactile-language-action models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Tactile language grounding debt keeps action-critical alternatives explicit until a physical observation collapses them.
7,doi:10.1609/aaai.v40i22.38947,Grounding Actions in Camera Space: Observation-Centric Vision-Language-Action Policy,2026,Proceedings of the AAAI Conference on Artificial Intelligence,https://doi.org/10.1609/aaai.v40i22.38947,Addresses tactile-language-action models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Tactile language grounding debt keeps action-critical alternatives explicit until a physical observation collapses them.
8,arxiv:2204.06252v2,What Matters in Language Conditioned Robotic Imitation Learning over Unstructured Data,2022,arXiv,http://arxiv.org/abs/2204.06252v2,Addresses tactile-language-action models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Tactile language grounding debt keeps action-critical alternatives explicit until a physical observation collapses them.
9,doi:10.1109/lra.2022.3196123,What Matters in Language Conditioned Robotic Imitation Learning Over Unstructured Data,2022,IEEE Robotics and Automation Letters,https://doi.org/10.1109/lra.2022.3196123,Addresses tactile-language-action models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Tactile language grounding debt keeps action-critical alternatives explicit until a physical observation collapses them.
10,doi:10.1049/cvi2.12268,OmDet: Large‐scale vision‐language multi‐dataset pre‐training with multimodal detection network,2024,IET Computer Vision,https://doi.org/10.1049/cvi2.12268,Addresses tactile-language-action models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Tactile language grounding debt keeps action-critical alternatives explicit until a physical observation collapses them.
