split,seed,episode_id,task,object_family,language_ambiguity,visual_counterfactual,tactile_noise,material_novelty,true_fragile,language_fragile,vision_fragile,tactile_fragile,true_slippery,language_slippery,vision_slippery,tactile_slippery,true_heavy,language_heavy,vision_heavy,tactile_heavy,true_full,language_full,vision_full,tactile_full,true_soft,language_soft,vision_soft,tactile_soft,true_locked,language_locked,vision_locked,tactile_locked
seen_clean,0,0,pick,oily_block,0.08000,0.05000,0.08000,0.03000,0,0.17249,0.89167,0.21300,1,0.81456,0.91279,0.84298,0,0.08398,0.19421,0.21321,0,0.35653,0.08248,0.02977,0,0.41853,0.30093,0.04394,0,0.27068,0.17747,0.03808
seen_clean,0,1,pour,empty_cup,0.08000,0.05000,0.08000,0.03000,0,0.44345,0.17590,0.02000,0,0.05676,0.21518,0.10950,0,0.02000,0.09232,0.11530,0,0.40362,0.02000,0.11673,1,0.64535,0.70230,0.92949,0,0.39611,0.37476,0.13275
seen_clean,0,2,open,latched_box,0.08000,0.05000,0.08000,0.03000,0,0.02969,0.21240,0.02000,0,0.52022,0.11561,0.14010,0,0.53934,0.24438,0.02000,0,0.29088,0.22032,0.09232,1,0.70811,0.79465,0.84263,1,0.79667,0.86852,0.91166
seen_clean,0,3,handoff,ceramic_tool,0.08000,0.05000,0.08000,0.03000,1,0.85190,0.75573,0.88499,0,0.18009,0.13759,0.17999,0,0.18996,0.10297,0.25803,0,0.27241,0.02000,0.18890,0,0.48860,0.20463,0.18489,0,0.30191,0.10922,0.25472
seen_clean,0,4,slide,generic_part,0.08000,0.05000,0.08000,0.03000,0,0.42457,0.22390,0.02000,0,0.27606,0.02000,0.11172,0,0.28479,0.07455,0.11455,0,0.14951,0.35525,0.10414,0,0.33300,0.27524,0.21799,0,0.30604,0.12161,0.24354
seen_clean,0,5,insert,rigid_insert,0.08000,0.05000,0.08000,0.03000,1,0.78149,0.88606,0.89052,1,0.57808,0.94994,0.90352,0,0.27575,0.11445,0.12015,1,0.68865,0.83602,0.82041,0,0.11595,0.24303,0.10756,0,0.41744,0.25887,0.16275
seen_clean,0,6,pick,generic_part,0.08000,0.05000,0.08000,0.03000,0,0.24768,0.28576,0.08611,0,0.06738,0.15285,0.21841,0,0.24792,0.06177,0.11556,0,0.34207,0.22558,0.13318,0,0.39207,0.21746,0.21540,0,0.40580,0.15912,0.02113
seen_clean,0,7,pour,empty_cup,0.08000,0.05000,0.08000,0.03000,0,0.36088,0.21219,0.02000,0,0.12043,0.28270,0.13880,0,0.28342,0.23527,0.05805,0,0.06262,0.11922,0.23514,0,0.35785,0.14695,0.21927,0,0.33338,0.25667,0.10454
seen_clean,0,8,open,loose_lid_box,0.08000,0.05000,0.08000,0.03000,0,0.11961,0.11788,0.07196,0,0.38443,0.17757,0.13322,0,0.23656,0.09580,0.04057,0,0.31940,0.29627,0.02000,0,0.02000,0.32398,0.09647,0,0.27368,0.18913,0.08334
seen_clean,0,9,handoff,dense_block,0.08000,0.05000,0.08000,0.03000,0,0.17760,0.19265,0.02000,0,0.21262,0.13704,0.21987,1,0.76226,0.85588,0.77155,0,0.44501,0.22953,0.15226,1,0.59179,0.75240,0.98000,0,0.39955,0.27453,0.08553
seen_clean,0,10,slide,thin_shell,0.08000,0.05000,0.08000,0.03000,1,0.52725,0.79984,0.85413,0,0.15228,0.17111,0.04902,0,0.16546,0.03426,0.03929,0,0.18173,0.18809,0.06738,0,0.25914,0.30389,0.17332,0,0.33910,0.14462,0.15566
seen_clean,0,11,insert,foam_insert,0.08000,0.05000,0.08000,0.03000,1,0.72880,0.83832,0.77848,0,0.34522,0.02000,0.14879,0,0.41741,0.20745,0.05417,0,0.37554,0.05993,0.14264,1,0.90860,0.80001,0.93093,0,0.24951,0.21115,0.09034
seen_clean,0,12,pick,polished_cylinder,0.08000,0.05000,0.08000,0.03000,0,0.24987,0.18644,0.10460,1,0.86894,0.98000,0.72028,1,0.62058,0.86784,0.98000,0,0.47842,0.14391,0.20885,0,0.34573,0.33173,0.02000,0,0.51921,0.33643,0.12627
